{'item_0': [2, 71], 'item_1': [71], 'item_2': [182403, 80], 'time_cost': '2.013603448867798'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync         4.21%     126.000us         4.21%     126.000us      31.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.64%      49.000us         1.87%      56.000us      56.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.37%      11.000us         6.22%     186.000us     186.000us       0.000us         0.00%      26.000us      26.000us           0 b           0 b       6.30 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.47%      14.000us         5.85%     175.000us     175.000us       0.000us         0.00%      26.000us      26.000us           0 b           0 b       6.30 Mb           0 b             1  
                                         aten::_indices         0.13%       4.000us         0.13%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.20%      36.000us         5.18%     155.000us     155.000us       0.000us         0.00%      26.000us      26.000us           0 b           0 b       6.30 Mb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -6.30 Mb      -6.30 Mb             3  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.992ms
Self CUDA time total: 38.000us

{'item_0': [2, 31], 'item_1': [31], 'item_2': [163206, 80], 'time_cost': '0.00305938720703125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.30%      37.000us        74.19%       2.118ms     423.600us       5.000us        38.46%       5.000us       1.000us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.98%      85.000us         4.10%     117.000us     117.000us       4.000us        30.77%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        30.77%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.63%      75.000us         3.47%      99.000us      99.000us       4.000us        30.77%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        30.77%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        15.38%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        15.38%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         7.69%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.44%      41.000us        84.17%       2.403ms     400.500us       0.000us         0.00%       5.000us       0.833us          32 b           0 b       1.50 Kb           0 b             6  
                                         aten::_to_copy         3.12%      89.000us        82.73%       2.362ms     472.400us       0.000us         0.00%       5.000us       1.000us          32 b           0 b       1.50 Kb           0 b             5  
                                    aten::empty_strided         5.43%     155.000us         5.43%     155.000us      31.000us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       1.50 Kb       1.50 Kb             5  
                                       cudaLaunchKernel        69.56%       1.986ms        69.56%       1.986ms     662.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.73%      78.000us        18.56%     530.000us     530.000us       0.000us         0.00%      10.000us      10.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.88%      25.000us         0.88%      25.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         1.05%      30.000us         1.05%      30.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.78%     108.000us         3.78%     108.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.14%       4.000us         0.14%       4.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.89%      54.000us         2.17%      62.000us      62.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.39%      11.000us         5.81%     166.000us     166.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.46%      13.000us         5.43%     155.000us     155.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                         aten::_indices         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.11%       3.000us         0.11%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.68%      48.000us         4.73%     135.000us     135.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                        aten::dense_dim         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.50 Kb      -1.50 Kb             3  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.855ms
Self CUDA time total: 13.000us

{'item_0': [2, 1], 'item_1': [1, 182403], 'item_2': [], 'time_cost': '0.0031158924102783203'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.13%      33.000us        72.84%       2.132ms     426.400us      14.000us        42.42%      14.000us       2.800us           0 b           0 b           0 b           0 b             5  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      11.000us        33.33%      11.000us       5.500us           0 b           0 b           0 b           0 b             2  
                                              aten::min         2.87%      84.000us         4.20%     123.000us     123.000us       9.000us        27.27%       9.000us       9.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us        27.27%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.63%      77.000us         3.62%     106.000us     106.000us       9.000us        27.27%       9.000us       9.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<256, 2, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us        27.27%       9.000us       9.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         6.06%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                             aten::add_         0.96%      28.000us         1.16%      34.000us      34.000us       1.000us         3.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::to         1.40%      41.000us        83.33%       2.439ms     406.500us       0.000us         0.00%      14.000us       2.333us          32 b           0 b       1.39 Mb           0 b             6  
                                         aten::_to_copy         4.24%     124.000us        81.93%       2.398ms     479.600us       0.000us         0.00%      14.000us       2.800us          32 b           0 b       1.39 Mb           0 b             5  
                                    aten::empty_strided         4.85%     142.000us         4.85%     142.000us      28.400us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       1.39 Mb       1.39 Mb             5  
                                       cudaLaunchKernel        68.91%       2.017ms        68.91%       2.017ms     504.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                aten::sparse_coo_tensor         2.94%      86.000us        20.16%     590.000us     590.000us       0.000us         0.00%      21.000us      21.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.82%      24.000us         0.82%      24.000us       2.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.99%      29.000us         0.99%      29.000us       4.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.83%     112.000us         3.83%     112.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.61%      47.000us         1.91%      56.000us      56.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.41%      12.000us         5.98%     175.000us     175.000us       0.000us         0.00%      11.000us      11.000us           0 b           0 b       1.39 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.51%      15.000us         5.57%     163.000us     163.000us       0.000us         0.00%      11.000us      11.000us           0 b           0 b       1.39 Mb           0 b             1  
                                         aten::_indices         0.20%       6.000us         0.20%       6.000us       1.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.06%      31.000us         4.85%     142.000us     142.000us       0.000us         0.00%      11.000us      11.000us           0 b           0 b       1.39 Mb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.39 Mb      -1.39 Mb             3  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.927ms
Self CUDA time total: 33.000us

{'item_0': [2, 3072], 'item_1': [3072], 'item_2': [192, 48], 'time_cost': '0.003023862838745117'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.23%      35.000us        74.15%       2.103ms     420.600us       7.000us        38.89%       7.000us       1.400us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.86%      81.000us         4.09%     116.000us     116.000us       6.000us        33.33%       6.000us       6.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        33.33%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.61%      74.000us         3.39%      96.000us      96.000us       5.000us        27.78%       5.000us       5.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        27.78%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        16.67%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.11%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.11%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.45%      41.000us        84.03%       2.383ms     397.167us       0.000us         0.00%       7.000us       1.167us          32 b           0 b     120.00 Kb           0 b             6  
                                         aten::_to_copy         3.28%      93.000us        82.58%       2.342ms     468.400us       0.000us         0.00%       7.000us       1.400us          32 b           0 b     120.00 Kb           0 b             5  
                                    aten::empty_strided         5.15%     146.000us         5.15%     146.000us      29.200us       0.000us         0.00%       0.000us       0.000us          32 b          32 b     120.00 Kb     120.00 Kb             5  
                                       cudaLaunchKernel        69.57%       1.973ms        69.57%       1.973ms     657.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         3.14%      89.000us        18.69%     530.000us     530.000us       0.000us         0.00%      13.000us      13.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.81%      23.000us         0.81%      23.000us       2.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         1.02%      29.000us         1.02%      29.000us       4.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         3.77%     107.000us         3.77%     107.000us      26.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.73%      49.000us         1.94%      55.000us      55.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.42%      12.000us         5.89%     167.000us     167.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      14.000us         5.47%     155.000us     155.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                         aten::_indices         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.80%      51.000us         4.76%     135.000us     135.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -120.00 Kb    -120.00 Kb             3  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.836ms
Self CUDA time total: 18.000us

{'item_0': [2, 3072], 'item_1': [3072], 'item_2': [768, 192], 'time_cost': '0.003064870834350586'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.25%      36.000us        75.10%       2.163ms     432.600us       7.000us        41.18%       7.000us       1.400us           0 b           0 b           0 b           0 b             5  
                                              aten::min         3.19%      92.000us         4.41%     127.000us     127.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.53%      73.000us         3.30%      95.000us      95.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        29.41%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        17.65%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.76%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        11.76%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.39%      40.000us        84.58%       2.436ms     406.000us       0.000us         0.00%       7.000us       1.167us          32 b           0 b     120.00 Kb           0 b             6  
                                         aten::_to_copy         3.16%      91.000us        83.19%       2.396ms     479.200us       0.000us         0.00%       7.000us       1.400us          32 b           0 b     120.00 Kb           0 b             5  
                                    aten::empty_strided         4.93%     142.000us         4.93%     142.000us      28.400us       0.000us         0.00%       0.000us       0.000us          32 b          32 b     120.00 Kb     120.00 Kb             5  
                                       cudaLaunchKernel        70.14%       2.020ms        70.14%       2.020ms     673.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                aten::sparse_coo_tensor         2.60%      75.000us        18.02%     519.000us     519.000us       0.000us         0.00%      12.000us      12.000us           0 b         -32 b           0 b      -2.00 Kb             1  
                                            aten::empty         0.80%      23.000us         0.80%      23.000us       2.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::resize_         0.97%      28.000us         0.97%      28.000us       4.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             6  
                                       aten::as_strided         0.10%       3.000us         0.10%       3.000us       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                        cudaMemcpyAsync         4.13%     119.000us         4.13%     119.000us      29.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
         aten::_sparse_coo_tensor_with_dims_and_tensors         1.63%      47.000us         1.81%      52.000us      52.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.42%      12.000us         6.18%     178.000us     178.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      14.000us         5.76%     166.000us     166.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                         aten::_indices         0.14%       4.000us         0.14%       4.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                          aten::_values         0.07%       2.000us         0.07%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                            aten::clone         1.67%      48.000us         5.07%     146.000us     146.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      72.00 Kb           0 b             1  
                                        aten::dense_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::sparse_dim         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                     aten::is_coalesced         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::_coalesced_         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -120.00 Kb    -120.00 Kb             3  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.880ms
Self CUDA time total: 17.000us

{'item_0': [2, 70], 'item_1': [70], 'item_2': [182403, 80], 'time_cost': '0.003070354461669922'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         1.61%      47.000us        74.72%       2.181ms     436.200us       6.000us        46.15%       6.000us       1.200us           0 b           0 b           0 b           0 b             5  
                                              aten::min         2.84%      83.000us         4.01%     117.000us     117.000us       4.000us        30.77%       4.000us       4.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        30.77%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        23.08%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                              aten::max         2.57%      75.000us         3.43%     100.000us     100.000us       3.000us        23.08%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        23.08%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        15.38%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         7.69%       1.000us       0.500us           0 b           0 b           0 b           0 b             2  
                                               aten::to         1.58%      46.000us        84.72%       2.473ms     412.167us       0.000us         0.00%       6.000us       1.000us          32 b           0 b       4.00 Kb           0 b             6  
                                         aten::_to_copy         3.25%      95.000us        83.14%       2.427ms     485.400us       0.000us         0.00%       6.000us       1.200us          32 b           0 b       4.00 Kb           0 b             5  
                                    aten::empty_strided         5.17%     151.000us         5.17%     151.000us      30.200us       0.000us         0.00%       0.000us       0.000us          32 b          32 b       4.00 Kb       4.00 Kb             5  
