{'item_0': [38, 164], 'item_1': 164, 'item_2': 1, 'time_cost': '2.0463435649871826'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        15.38%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        11.54%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                                           aten::cumsum         1.90%      54.000us         4.43%     126.000us     126.000us       2.000us         7.69%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.32%       9.000us         3.37%      96.000us      48.000us       2.000us         7.69%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         7.69%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                aten::repeat_interleave         7.10%     202.000us       116.37%       3.312ms       1.656ms       1.000us         3.85%      34.000us      17.000us           0 b           0 b       2.11 Mb     -75.50 Kb             2  
                                            aten::fill_         0.46%      13.000us        70.45%       2.005ms       2.005ms       1.000us         3.85%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.85%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.85%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.85%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         0.74%      21.000us         0.98%      28.000us      28.000us       1.000us         3.85%       1.000us       1.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.85%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         3.85%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         4.74%     135.000us         4.74%     135.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      74.50 Kb      74.50 Kb             5  
                                       cudaLaunchKernel        71.82%       2.044ms        71.82%       2.044ms     227.111us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.46%      13.000us         0.60%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.46%      13.000us         0.49%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.11%       3.000us         0.11%       3.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.74%      21.000us         4.88%     139.000us      69.500us       0.000us         0.00%       3.000us       1.500us           0 b           0 b       2.00 Kb           0 b             2  
                                            aten::clone         1.51%      43.000us         4.15%     118.000us      59.000us       0.000us         0.00%       3.000us       1.500us           0 b           0 b       2.00 Kb           0 b             2  
                                       aten::empty_like         0.95%      27.000us         1.48%      42.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.39%      11.000us         0.42%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.70%      20.000us         4.08%     116.000us      58.000us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         3.34%      95.000us         3.34%      95.000us      31.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.18%       5.000us         0.18%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.21%       6.000us         0.21%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.04 Mb       2.04 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.14%       4.000us         1.48%      42.000us      42.000us       0.000us         0.00%       5.000us       5.000us           0 b           0 b       2.04 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.25%       7.000us         1.34%      38.000us      38.000us       0.000us         0.00%       5.000us       5.000us           0 b           0 b       2.04 Mb           0 b             1  
                                aten::new_empty_strided         0.11%       3.000us         0.46%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.04 Mb           0 b             1  
                                    aten::empty_strided         0.35%      10.000us         0.35%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.04 Mb       2.04 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.08 Mb      -4.08 Mb             2  
                                  cudaDeviceSynchronize         0.18%       5.000us         0.18%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.846ms
Self CUDA time total: 26.000us

{'item_0': [23, 80], 'item_1': 80, 'item_2': 1, 'time_cost': '0.003035306930541992'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.75%      22.000us         1.90%      56.000us      18.667us       9.000us        36.00%       9.000us       3.000us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        24.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         1.09%      32.000us         1.63%      48.000us      48.000us       5.000us        20.00%       5.000us       5.000us           0 b           0 b       1.12 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        20.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        12.00%       3.000us       1.500us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.92%      27.000us         1.16%      34.000us      34.000us       3.000us        12.00%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        12.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.84%      54.000us         4.46%     131.000us     131.000us       2.000us         8.00%       3.000us       3.000us           0 b           0 b       1.00 Kb           0 b             1  
                              aten::_local_scalar_dense         0.27%       8.000us         4.66%     137.000us      68.500us       2.000us         8.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.75%      22.000us         1.02%      30.000us      30.000us       2.000us         8.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         8.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.04%     207.000us       117.69%       3.460ms       1.730ms       1.000us         4.00%      32.000us      16.000us           0 b           0 b       1.17 Mb     -53.50 Kb             2  
                                            aten::fill_         0.44%      13.000us        68.16%       2.004ms       2.004ms       1.000us         4.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         4.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         5.37%     158.000us         5.37%     158.000us      31.600us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      52.50 Kb      52.50 Kb             5  
                                       cudaLaunchKernel        69.63%       2.047ms        69.63%       2.047ms     227.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.48%      14.000us         0.61%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.51%      15.000us         0.54%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.10%       3.000us         0.10%       3.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.78%      23.000us         4.93%     145.000us      72.500us       0.000us         0.00%       3.000us       1.500us           0 b           0 b       2.00 Kb           0 b             2  
                                            aten::clone         1.50%      44.000us         4.15%     122.000us      61.000us       0.000us         0.00%       3.000us       1.500us           0 b           0 b       2.00 Kb           0 b             2  
                                       aten::empty_like         0.99%      29.000us         1.50%      44.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb           0 b             2  
                                               aten::to         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.41%      12.000us         0.44%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.75%      22.000us         5.41%     159.000us      79.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         4.76%     140.000us         4.76%     140.000us      46.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.17%       5.000us         0.17%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.20%       6.000us         0.20%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.12 Mb       1.12 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.24%       7.000us         1.63%      48.000us      48.000us       0.000us         0.00%       6.000us       6.000us           0 b           0 b       2.08 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.20%       6.000us         1.39%      41.000us      41.000us       0.000us         0.00%       6.000us       6.000us           0 b           0 b       2.08 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       3.000us         0.44%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.08 Mb           0 b             1  
                                    aten::empty_strided         0.34%      10.000us         0.34%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.08 Mb       2.08 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -3.20 Mb      -3.20 Mb             2  
                                  cudaDeviceSynchronize         0.17%       5.000us         0.17%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.940ms
Self CUDA time total: 25.000us

{'item_0': [43, 160], 'item_1': 160, 'item_2': 1, 'time_cost': '0.00316619873046875'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.72%      22.000us         1.73%      53.000us      17.667us      29.000us        49.15%      29.000us       9.667us           0 b           0 b           0 b           0 b             3  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.000us        42.37%      25.000us      25.000us           0 b           0 b           0 b           0 b             1  
                                     aten::index_select         1.04%      32.000us         1.56%      48.000us      48.000us      18.000us        30.51%      18.000us      18.000us           0 b           0 b       8.40 Mb           0 b             1  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us        30.51%      18.000us      18.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         6.78%       4.000us       2.000us           0 b           0 b           0 b           0 b             2  
                                              aten::all         0.85%      26.000us         1.11%      34.000us      34.000us       3.000us         5.08%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         5.08%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.50%     230.000us       116.75%       3.582ms       1.791ms       2.000us         3.39%      49.000us      24.500us           0 b           0 b       8.59 Mb    -204.50 Kb             2  
                                           aten::cumsum         1.86%      57.000us         4.34%     133.000us     133.000us       2.000us         3.39%       4.000us       4.000us           0 b           0 b       1.50 Kb           0 b             1  
                              aten::_local_scalar_dense         0.23%       7.000us         4.07%     125.000us      62.500us       2.000us         3.39%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         3.39%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                               aten::ge         0.68%      21.000us         0.95%      29.000us      29.000us       2.000us         3.39%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         3.39%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         3.39%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         0.42%      13.000us        67.70%       2.077ms       2.077ms       1.000us         1.69%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.69%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.69%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         1.69%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         6.75%     207.000us         6.75%     207.000us      41.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     203.50 Kb     203.50 Kb             5  
                                       cudaLaunchKernel        69.13%       2.121ms        69.13%       2.121ms     235.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             9  
                                          aten::reshape         0.46%      14.000us         0.59%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.13%       4.000us         0.13%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.46%      14.000us         0.46%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.07%       2.000us         0.07%       2.000us       0.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                       aten::contiguous         0.72%      22.000us         4.73%     145.000us      72.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                            aten::clone         1.47%      45.000us         4.01%     123.000us      61.500us       0.000us         0.00%       4.000us       2.000us           0 b           0 b       3.00 Kb           0 b             2  
                                       aten::empty_like         0.95%      29.000us         1.43%      44.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       3.00 Kb           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.03%       1.000us         0.03%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.39%      12.000us         0.42%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         0.72%      22.000us         4.79%     147.000us      73.500us       0.000us         0.00%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                        cudaMemcpyAsync         4.11%     126.000us         4.11%     126.000us      42.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                  cudaStreamSynchronize         0.16%       5.000us         0.16%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                          aten::resize_         0.23%       7.000us         0.23%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.40 Mb       8.40 Mb             1  
autograd::engine::evaluate_function: torch::autograd...         0.20%       6.000us         1.40%      43.000us      43.000us       0.000us         0.00%      25.000us      25.000us           0 b           0 b       8.40 Mb           0 b             1  
                        torch::autograd::AccumulateGrad         0.16%       5.000us         1.21%      37.000us      37.000us       0.000us         0.00%      25.000us      25.000us           0 b           0 b       8.40 Mb           0 b             1  
                                aten::new_empty_strided         0.10%       3.000us         0.42%      13.000us      13.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.40 Mb           0 b             1  
                                    aten::empty_strided         0.33%      10.000us         0.33%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.40 Mb       8.40 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -16.80 Mb     -16.80 Mb             2  
                                  cudaDeviceSynchronize         0.16%       5.000us         0.16%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.068ms
Self CUDA time total: 59.000us

{'item_0': [1, 1, 2, 6, 7], 'item_1': 9, 'item_2': 1, 'time_cost': '0.002936840057373047'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::index_select         1.20%      34.000us         1.76%      50.000us      50.000us       5.000us        31.25%       5.000us       5.000us           0 b           0 b       6.00 Kb           0 b             1  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us        31.25%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                                           aten::cumsum         1.76%      50.000us         2.36%      67.000us      67.000us       3.000us        18.75%       3.000us       3.000us           0 b           0 b         512 b         512 b             1  
                              aten::_local_scalar_dense         0.39%      11.000us         4.57%     130.000us      43.333us       3.000us        18.75%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        18.75%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                            aten::fill_         0.67%      19.000us        71.18%       2.023ms       1.012ms       2.000us        12.50%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::cuda::detail::cub::DeviceScanKernel<at::cud...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        12.50%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                aten::repeat_interleave         7.07%     201.000us       113.62%       3.229ms       1.615ms       1.000us         6.25%      24.000us      12.000us           0 b           0 b       6.50 Kb      -2.50 Kb             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::cuda::detail::cub::DeviceScanInitKernel<at:...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               aten::ge         0.95%      27.000us         1.23%      35.000us      35.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b         512 b         512 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void compute_cuda_kernel<long>(long*, long*, long*, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.21%       6.000us         0.63%      18.000us      18.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us         6.25%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::empty         6.19%     176.000us         6.19%     176.000us      58.667us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             3  
                                       cudaLaunchKernel        71.82%       2.041ms        71.82%       2.041ms     291.571us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7  
                                          aten::reshape         0.49%      14.000us         0.63%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   aten::_reshape_alias         0.14%       4.000us         0.14%       4.000us       4.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::expand         0.53%      15.000us         0.53%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                               aten::to         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                           aten::select         0.39%      11.000us         0.42%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             aten::item         1.16%      33.000us         5.74%     163.000us      54.333us       0.000us         0.00%       3.000us       1.000us           0 b           0 b           0 b           0 b             3  
                                        cudaMemcpyAsync         4.40%     125.000us         4.40%     125.000us      31.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                  cudaStreamSynchronize         0.21%       6.000us         0.21%       6.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             3  
                                              aten::all         1.02%      29.000us         2.57%      73.000us      73.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b         512 b             1  
                                          aten::resize_         0.25%       7.000us         0.25%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       6.00 Kb       6.00 Kb             1  
autograd::engine::evaluate_function: torch::autograd...         0.21%       6.000us         1.55%      44.000us      44.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       6.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.25%       7.000us         1.34%      38.000us      38.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       6.00 Kb           0 b             1  
