{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::ones_like         1.79%     115.000us         4.66%     300.000us     300.000us       3.000us         0.05%     254.000us     254.000us           0 b           0 b      15.75 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.50%      32.000us         2.25%     145.000us     145.000us       3.000us         0.05%     257.000us     257.000us           0 b           0 b       3.94 Mb           0 b             1  
                                       aten::empty_like         1.23%      79.000us         1.94%     125.000us     125.000us       2.000us         0.03%       2.000us       2.000us           0 b           0 b      15.75 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         0.67%      43.000us         2.92%     188.000us     188.000us       1.000us         0.02%     258.000us     258.000us           0 b           0 b       3.94 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.44%      28.000us         0.65%      42.000us      42.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.22%      14.000us         0.22%      14.000us      14.000us       1.000us         0.02%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.72%      46.000us         0.72%      46.000us      46.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      15.75 Mb      15.75 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -31.50 Mb     -31.50 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.432ms
Self CUDA time total: 6.574ms

{'item_0': [2.0, 16.0, 6.0, 6.0], 'item_1': [128.0, 128.0], 'item_2': [False], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0046689510345458984'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::upsample_bilinear2d_backward         4.23%     169.000us         6.48%     259.000us     259.000us       2.390ms        59.94%       2.471ms       2.471ms           0 b           0 b       4.50 Kb       4.50 Kb             1  
                              aten::upsample_bilinear2d         7.63%     305.000us         7.63%     305.000us     305.000us     381.000us         9.56%     381.000us     381.000us           0 b           0 b       2.00 Mb       2.00 Mb             1  
                                         aten::_to_copy         5.33%     213.000us        62.03%       2.480ms       1.240ms     186.000us         4.67%     365.000us     182.500us      13.50 Kb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         4.38%     175.000us        70.96%       2.837ms       1.419ms     155.000us         3.89%     670.000us     335.000us       9.00 Kb      -4.50 Kb      -4.50 Kb      -4.50 Kb             2  
                                            aten::copy_        54.68%       2.186ms        54.68%       2.186ms       1.093ms     150.000us         3.76%     150.000us      75.000us           0 b           0 b           0 b           0 b             2  
                                            aten::fill_         3.00%     120.000us         3.00%     120.000us      60.000us     133.000us         3.34%     133.000us      66.500us           0 b           0 b           0 b           0 b             2  
                                        ToCopyBackward0         2.33%      93.000us        66.58%       2.662ms       1.331ms      75.000us         1.88%     515.000us     257.500us      13.50 Kb           0 b           0 b           0 b             2  
                                               aten::to         2.23%      89.000us        64.26%       2.569ms       1.284ms      75.000us         1.88%     440.000us     220.000us      13.50 Kb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         1.83%      73.000us         2.85%     114.000us     114.000us      74.000us         1.86%     107.000us     107.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         3.13%     125.000us         3.13%     125.000us      41.667us      65.000us         1.63%      65.000us      21.667us      13.50 Kb      13.50 Kb       2.00 Mb       2.00 Mb             3  
                            UpsampleBilinear2DBackward1         0.88%      35.000us         7.35%     294.000us     294.000us      65.000us         1.63%       2.536ms       2.536ms           0 b           0 b       4.50 Kb           0 b             1  
                                        aten::ones_like         3.03%     121.000us         7.43%     297.000us     297.000us      58.000us         1.45%     208.000us     208.000us           0 b           0 b       2.00 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         1.75%      70.000us         9.10%     364.000us     364.000us      46.000us         1.15%       2.582ms       2.582ms           0 b           0 b       4.50 Kb           0 b             1  
                                       aten::empty_like         1.85%      74.000us         2.95%     118.000us     118.000us      37.000us         0.93%      73.000us      73.000us           0 b           0 b       2.00 Mb           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.98%      39.000us         3.83%     153.000us     153.000us      36.000us         0.90%     143.000us     143.000us      -9.00 Kb      -9.00 Kb           0 b           0 b             1  
                                             aten::add_         1.03%      41.000us         1.03%      41.000us      41.000us      33.000us         0.83%      33.000us      33.000us           0 b           0 b           0 b           0 b             1  
                                            aten::zero_         0.70%      28.000us         2.25%      90.000us      90.000us      25.000us         0.63%      81.000us      81.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.73%      29.000us         1.05%      42.000us      42.000us       2.000us         0.05%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.33%      13.000us         0.33%      13.000us      13.000us       1.000us         0.03%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.00 Mb      -4.00 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.998ms
Self CUDA time total: 3.987ms

{'item_0': [1.0, 256.0, 52.0, 50.0], 'item_1': [104.0, 100.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0047914981842041016'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        33.58%       1.357ms        33.58%       1.357ms     678.500us       1.328ms        32.02%       1.328ms     664.000us           0 b           0 b           0 b           0 b             2  
                                             aten::add_        20.09%     812.000us        20.09%     812.000us     812.000us     799.000us        19.27%     799.000us     799.000us           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         5.10%     206.000us         5.10%     206.000us     206.000us     512.000us        12.35%     512.000us     512.000us           0 b           0 b      10.16 Mb      10.16 Mb             1  
                                         aten::_to_copy         8.81%     356.000us        45.01%       1.819ms     909.500us     386.000us         9.31%       1.798ms     899.000us       7.62 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         2.67%     108.000us         2.67%     108.000us     108.000us     186.000us         4.49%     186.000us     186.000us           0 b           0 b       2.54 Mb       2.54 Mb             1  
                                               aten::to         4.48%     181.000us        49.49%       2.000ms       1.000ms     182.000us         4.39%       1.980ms     990.000us       7.62 Mb           0 b           0 b           0 b             2  
                                            aten::fill_         1.16%      47.000us         1.16%      47.000us      47.000us     166.000us         4.00%     166.000us     166.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: ToCopyBackward0...         4.33%     175.000us        57.07%       2.306ms       1.153ms     155.000us         3.74%       2.268ms       1.134ms       5.08 Mb      -2.54 Mb      -2.54 Mb      -2.54 Mb             2  
                                        ToCopyBackward0         3.24%     131.000us        52.73%       2.131ms       1.065ms     133.000us         3.21%       2.113ms       1.056ms       7.62 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         2.47%     100.000us        22.57%     912.000us     912.000us     104.000us         2.51%     903.000us     903.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.55%     103.000us        25.12%       1.015ms       1.015ms     101.000us         2.44%       1.004ms       1.004ms      -5.08 Mb      -5.08 Mb           0 b           0 b             1  
                                    aten::empty_strided         2.62%     106.000us         2.62%     106.000us      53.000us      84.000us         2.03%      84.000us      42.000us       7.62 Mb       7.62 Mb           0 b           0 b             2  
                                        aten::ones_like         2.65%     107.000us         6.53%     264.000us     264.000us       3.000us         0.07%     171.000us     171.000us           0 b           0 b      10.16 Mb           0 b             1  
                                       aten::empty_like         1.73%      70.000us         2.72%     110.000us     110.000us       2.000us         0.05%       2.000us       2.000us           0 b           0 b      10.16 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.01%      41.000us         4.40%     178.000us     178.000us       2.000us         0.05%     190.000us     190.000us           0 b           0 b       2.54 Mb           0 b             1  
                             UpsampleNearest2DBackward1         0.72%      29.000us         3.39%     137.000us     137.000us       2.000us         0.05%     188.000us     188.000us           0 b           0 b       2.54 Mb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.46%      59.000us         1.78%      72.000us      72.000us       1.000us         0.02%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.32%      13.000us         0.32%      13.000us      13.000us       1.000us         0.02%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.99%      40.000us         0.99%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      10.16 Mb      10.16 Mb             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -20.31 Mb     -20.31 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.041ms
Self CUDA time total: 4.147ms

{'item_0': [1.0, 96.0, 8.0, 12.0], 'item_1': [False], 'item_2': [2.0], 'item_3': ['None'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.002485036849975586'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               aten::upsample_nearest2d        14.11%     264.000us        14.11%     264.000us     264.000us     327.000us        18.53%     327.000us     327.000us           0 b           0 b     144.00 Kb     144.00 Kb             1  
                                            aten::copy_        14.11%     264.000us        14.11%     264.000us     132.000us     248.000us        14.05%     248.000us     124.000us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy        10.15%     190.000us        29.56%     553.000us     276.500us     207.000us        11.73%     537.000us     268.500us     108.00 Kb           0 b           0 b           0 b             2  
                                    aten::empty_strided         7.64%     143.000us         7.64%     143.000us      47.667us     117.000us         6.63%     117.000us      39.000us     108.00 Kb     108.00 Kb     144.00 Kb     144.00 Kb             3  
                                        ToCopyBackward0         5.88%     110.000us        41.69%     780.000us     390.000us     116.000us         6.57%     767.000us     383.500us     108.00 Kb           0 b           0 b           0 b             2  
                                               aten::to         6.25%     117.000us        35.81%     670.000us     335.000us     114.000us         6.46%     651.000us     325.500us     108.00 Kb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         5.45%     102.000us        47.14%     882.000us     441.000us      93.000us         5.27%     860.000us     430.000us      72.00 Kb     -36.00 Kb     -36.00 Kb     -36.00 Kb             2  
                        torch::autograd::AccumulateGrad         3.85%      72.000us         6.79%     127.000us     127.000us      76.000us         4.31%     120.000us     120.000us           0 b           0 b           0 b           0 b             1  
                      aten::upsample_nearest2d_backward         6.20%     116.000us         6.20%     116.000us     116.000us      73.000us         4.14%      73.000us      73.000us           0 b           0 b      36.00 Kb      36.00 Kb             1  
                                        aten::ones_like         5.99%     112.000us        15.18%     284.000us     284.000us      69.000us         3.91%     172.000us     172.000us           0 b           0 b     144.00 Kb           0 b             1  
                             UpsampleNearest2DBackward1         1.66%      31.000us         7.86%     147.000us     147.000us      66.000us         3.74%     139.000us     139.000us           0 b           0 b      36.00 Kb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         3.53%      66.000us        11.38%     213.000us     213.000us      55.000us         3.12%     194.000us     194.000us           0 b           0 b      36.00 Kb           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         3.05%      57.000us         9.83%     184.000us     184.000us      55.000us         3.12%     175.000us     175.000us     -72.00 Kb     -72.00 Kb           0 b           0 b             1  
                                            aten::fill_         2.99%      56.000us         2.99%      56.000us      56.000us      48.000us         2.72%      48.000us      48.000us           0 b           0 b           0 b           0 b             1  
                                             aten::add_         2.94%      55.000us         2.94%      55.000us      55.000us      44.000us         2.49%      44.000us      44.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.60%      30.000us         2.35%      44.000us      44.000us      30.000us         1.70%      37.000us      37.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         3.85%      72.000us         6.20%     116.000us     116.000us      20.000us         1.13%      55.000us      55.000us           0 b           0 b     144.00 Kb           0 b             1  
                                         CloneBackward0         0.75%      14.000us         0.75%      14.000us      14.000us       7.000us         0.40%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -288.00 Kb    -288.00 Kb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.871ms
Self CUDA time total: 1.765ms

{'item_0': [1.0, 256.0, 25.0, 34.0], 'item_1': [50.0, 68.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.003489255905151367'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        21.88%     588.000us        21.88%     588.000us     294.000us     566.000us        21.55%     566.000us     283.000us           0 b           0 b           0 b           0 b             2  
                               aten::upsample_nearest2d         9.82%     264.000us         9.82%     264.000us     264.000us     390.000us        14.85%     390.000us     390.000us           0 b           0 b       3.32 Mb       3.32 Mb             1  
                                             aten::add_        12.20%     328.000us        12.20%     328.000us     328.000us     316.000us        12.03%     316.000us     316.000us           0 b           0 b           0 b           0 b             1  
                                         aten::_to_copy         8.07%     217.000us        33.63%     904.000us     452.000us     238.000us         9.06%     884.000us     442.000us       2.49 Mb           0 b           0 b           0 b             2  
                      aten::upsample_nearest2d_backward         5.62%     151.000us         5.62%     151.000us     151.000us     155.000us         5.90%     155.000us     155.000us           0 b           0 b     850.00 Kb     850.00 Kb             1  
                                               aten::to         5.36%     144.000us        38.99%       1.048ms     524.000us     149.000us         5.67%       1.033ms     516.500us       2.49 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         5.39%     145.000us        48.03%       1.291ms     645.500us     142.000us         5.41%       1.273ms     636.500us       1.66 Mb    -850.00 Kb    -850.00 Kb    -850.00 Kb             2  
                        torch::autograd::AccumulateGrad         4.24%     114.000us        16.44%     442.000us     442.000us     117.000us         4.46%     433.000us     433.000us           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         3.65%      98.000us        42.63%       1.146ms     573.000us      98.000us         3.73%       1.131ms     565.500us       2.49 Mb           0 b           0 b           0 b             2  
                                            aten::fill_         2.08%      56.000us         2.08%      56.000us      56.000us      91.000us         3.47%      91.000us      91.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         3.24%      87.000us        19.68%     529.000us     529.000us      83.000us         3.16%     516.000us     516.000us      -1.66 Mb      -1.66 Mb           0 b           0 b             1  
                                    aten::empty_strided         5.28%     142.000us         5.28%     142.000us      47.333us      81.000us         3.08%      81.000us      27.000us       2.49 Mb       2.49 Mb       3.40 Mb       3.40 Mb             3  
                             UpsampleNearest2DBackward1         2.31%      62.000us         7.92%     213.000us     213.000us      71.000us         2.70%     226.000us     226.000us           0 b           0 b     850.00 Kb           0 b             1  
                                        aten::ones_like         4.20%     113.000us        10.68%     287.000us     287.000us      57.000us         2.17%     151.000us     151.000us           0 b           0 b       3.40 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         2.34%      63.000us        10.27%     276.000us     276.000us      36.000us         1.37%     262.000us     262.000us           0 b           0 b     850.00 Kb           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         1.04%      28.000us         1.53%      41.000us      41.000us      27.000us         1.03%      34.000us      34.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.48%      13.000us         0.48%      13.000us      13.000us       7.000us         0.27%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                       aten::empty_like         2.79%      75.000us         4.39%     118.000us     118.000us       2.000us         0.08%       3.000us       3.000us           0 b           0 b       3.40 Mb           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -6.72 Mb      -6.72 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.688ms
Self CUDA time total: 2.626ms

{'item_0': [1.0, 1.0, 672.0, 769.0], 'item_1': [21.0, 25.0], 'item_2': [False], 'item_3': ['None'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.004324674606323242'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_        28.78%     998.000us        28.78%     998.000us     499.000us     977.000us        28.83%     977.000us     488.500us           0 b           0 b           0 b           0 b             2  
                                             aten::add_        18.69%     648.000us        18.69%     648.000us     648.000us     637.000us        18.80%     637.000us     637.000us           0 b           0 b           0 b           0 b             1  
                               aten::upsample_nearest2d         9.05%     314.000us         9.05%     314.000us     314.000us     331.000us         9.77%     331.000us     331.000us           0 b           0 b       2.50 Kb       2.50 Kb             1  
                                         aten::_to_copy         6.98%     242.000us        38.58%       1.338ms     669.000us     265.000us         7.82%       1.324ms     662.000us       5.91 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         4.30%     149.000us        49.57%       1.719ms     859.500us     143.000us         4.22%       1.698ms     849.000us       3.94 Mb      -1.97 Mb      -1.97 Mb      -1.97 Mb             2  
                      aten::upsample_nearest2d_backward         4.67%     162.000us         4.67%     162.000us     162.000us     142.000us         4.19%     142.000us     142.000us           0 b           0 b       1.97 Mb       1.97 Mb             1  
                                               aten::to         3.72%     129.000us        42.30%       1.467ms     733.500us     128.000us         3.78%       1.452ms     726.000us       5.91 Mb           0 b           0 b           0 b             2  
                                    aten::empty_strided         4.12%     143.000us         4.12%     143.000us      47.667us     118.000us         3.48%     118.000us      39.333us       5.91 Mb       5.91 Mb       2.50 Kb       2.50 Kb             3  
                                        ToCopyBackward0         2.97%     103.000us        45.27%       1.570ms     785.000us     103.000us         3.04%       1.555ms     777.500us       5.91 Mb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         2.74%      95.000us        21.42%     743.000us     743.000us      98.000us         2.89%     735.000us     735.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         2.83%      98.000us        24.25%     841.000us     841.000us      95.000us         2.80%     830.000us     830.000us      -3.94 Mb      -3.94 Mb           0 b           0 b             1  
                                        aten::ones_like         3.23%     112.000us         8.28%     287.000us     287.000us      88.000us         2.60%     246.000us     246.000us           0 b           0 b       2.50 Kb           0 b             1  
                                       aten::empty_like         2.08%      72.000us         3.37%     117.000us     117.000us      72.000us         2.12%     108.000us     108.000us           0 b           0 b       2.50 Kb           0 b             1  
                             UpsampleNearest2DBackward1         0.95%      33.000us         5.62%     195.000us     195.000us      67.000us         1.98%     209.000us     209.000us           0 b           0 b       1.97 Mb           0 b             1  
                                            aten::fill_         1.67%      58.000us         1.67%      58.000us      58.000us      50.000us         1.48%      50.000us      50.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.81%      28.000us         1.85%      64.000us      64.000us      49.000us         1.45%      56.000us      56.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: UpsampleNearest...         1.38%      48.000us         7.01%     243.000us     243.000us      19.000us         0.56%     228.000us     228.000us           0 b           0 b       1.97 Mb           0 b             1  
                                         CloneBackward0         1.04%      36.000us         1.04%      36.000us      36.000us       7.000us         0.21%       7.000us       7.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.00 Kb      -5.00 Kb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.468ms
Self CUDA time total: 3.389ms

{'item_0': [2.0, 150.0, 64.0, 64.0], 'item_1': [512.0, 512.0], 'item_2': [False], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.10047388076782227'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     aten::upsample_bilinear2d_backward         0.13%     126.000us         0.20%     198.000us     198.000us      80.363ms        80.85%      80.439ms      80.439ms           0 b           0 b       4.69 Mb       4.69 Mb             1  
                              aten::upsample_bilinear2d         0.29%     291.000us         0.29%     291.000us     291.000us       7.835ms         7.88%       7.835ms       7.835ms           0 b           0 b     300.00 Mb     300.00 Mb             1  
                                            aten::fill_         0.11%     105.000us         0.11%     105.000us      52.500us       4.316ms         4.34%       4.316ms       2.158ms           0 b           0 b           0 b           0 b             2  
                                            aten::copy_        94.92%      94.187ms        94.92%      94.187ms      47.093ms       2.972ms         2.99%       2.972ms       1.486ms           0 b           0 b           0 b           0 b             2  
                                             aten::add_         2.30%       2.286ms         2.30%       2.286ms       2.286ms       2.266ms         2.28%       2.266ms       2.266ms           0 b           0 b           0 b           0 b             1  
                                               aten::to         0.42%     416.000us        95.85%      95.110ms      47.555ms     401.000us         0.40%       3.789ms       1.895ms      14.06 Mb           0 b           0 b           0 b             2  
                                         aten::_to_copy         0.36%     355.000us        95.43%      94.694ms      47.347ms     348.000us         0.35%       3.388ms       1.694ms      14.06 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         0.34%     335.000us        96.37%      95.621ms      47.810ms     295.000us         0.30%       4.246ms       2.123ms       9.38 Mb      -4.69 Mb      -4.69 Mb      -4.69 Mb             2  
                        torch::autograd::AccumulateGrad         0.21%     204.000us         2.51%       2.490ms       2.490ms     211.000us         0.21%       2.477ms       2.477ms           0 b           0 b           0 b           0 b             1  
                                        ToCopyBackward0         0.18%     176.000us        96.03%      95.286ms      47.643ms     162.000us         0.16%       3.951ms       1.976ms      14.06 Mb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         0.16%     155.000us         2.67%       2.645ms       2.645ms     148.000us         0.15%       2.625ms       2.625ms      -9.38 Mb      -9.38 Mb           0 b           0 b             1  
                                    aten::empty_strided         0.08%      83.000us         0.08%      83.000us      83.000us      68.000us         0.07%      68.000us      68.000us       9.38 Mb       9.38 Mb           0 b           0 b             1  
                            UpsampleBilinear2DBackward1         0.03%      34.000us         0.23%     232.000us     232.000us       3.000us         0.00%      80.442ms      80.442ms           0 b           0 b       4.69 Mb           0 b             1  
                                        aten::ones_like         0.12%     115.000us         0.31%     306.000us     306.000us       2.000us         0.00%       4.245ms       4.245ms           0 b           0 b     300.00 Mb           0 b             1  
                                       aten::empty_like         0.08%      84.000us         0.13%     130.000us     130.000us       2.000us         0.00%       2.000us       2.000us           0 b           0 b     300.00 Mb           0 b             1  
autograd::engine::evaluate_function: UpsampleBilinea...         0.05%      48.000us         0.28%     280.000us     280.000us       1.000us         0.00%      80.443ms      80.443ms           0 b           0 b       4.69 Mb           0 b             1  
                                            aten::zero_         0.03%      28.000us         0.07%      72.000us      72.000us       1.000us         0.00%      76.000us      76.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.07%      68.000us         0.08%      83.000us      83.000us       1.000us         0.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.02%      15.000us         0.02%      15.000us      15.000us       1.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         0.12%     115.000us         0.12%     115.000us      57.500us       0.000us         0.00%       0.000us       0.000us       4.69 Mb       4.69 Mb     300.00 Mb     300.00 Mb             2  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -600.00 Mb    -600.00 Mb             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 99.226ms
Self CUDA time total: 99.396ms

{'item_0': [1.0, 256.0, 19.0, 13.0], 'item_1': [38.0, 25.0], 'item_2': [False], 'item_3': ['bilinear'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.0032646656036376953'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
