{'item_0': [128, 256], 'time_cost': '0.0017590522766113281'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 533.000us
Self CUDA time total: 14.000us

{'item_0': [128, 10], 'time_cost': '0.0006320476531982422'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.52%       8.000us         3.23%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.90%      10.000us        49.91%     263.000us     263.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.55%      24.000us         8.35%      44.000us      44.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.42%      18.000us         3.80%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         6.83%      36.000us        79.32%     418.000us     418.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       5.00 Kb           0 b             1  
                                       aten::empty_like         3.23%      17.000us        22.58%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb           0 b             1  
                                    aten::empty_strided        19.35%     102.000us        19.35%     102.000us     102.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb             1  
                                       cudaLaunchKernel        49.72%     262.000us        49.72%     262.000us     131.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.52%       8.000us         5.12%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.57%       3.000us         3.61%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.95%       5.000us         3.04%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.90%      10.000us         2.09%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.76%       4.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.33%       7.000us         5.31%      28.000us      28.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.76%       4.000us         3.98%      21.000us      21.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.00 Kb      -5.00 Kb             1  
                                  cudaDeviceSynchronize         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 527.000us
Self CUDA time total: 5.000us

{'item_0': [256, 32], 'time_cost': '0.0006203651428222656'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.56%       8.000us         3.31%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.75%       9.000us        50.97%     262.000us     262.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.09%      21.000us         7.78%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.31%      17.000us         3.70%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.39%       2.000us         0.39%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.64%      29.000us        79.77%     410.000us     410.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      32.00 Kb           0 b             1  
                                       aten::empty_like         3.31%      17.000us        23.15%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb           0 b             1  
                                    aten::empty_strided        19.84%     102.000us        19.84%     102.000us     102.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb      32.00 Kb             1  
                                       cudaLaunchKernel        50.97%     262.000us        50.97%     262.000us     131.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.36%       7.000us         5.06%      26.000us      26.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.78%       4.000us         3.70%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.78%       4.000us         2.92%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.75%       9.000us         2.14%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.39%       2.000us         0.39%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.78%       4.000us         0.97%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.17%       6.000us         5.45%      28.000us      28.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.97%       5.000us         4.28%      22.000us      22.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -32.00 Kb     -32.00 Kb             1  
                                  cudaDeviceSynchronize         0.97%       5.000us         0.97%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 514.000us
Self CUDA time total: 5.000us

{'item_0': [32, 256], 'time_cost': '0.000629425048828125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.52%       8.000us         3.24%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.71%       9.000us        49.90%     262.000us     262.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.00%      21.000us         7.62%      40.000us      40.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.24%      17.000us         3.62%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         6.86%      36.000us        79.81%     419.000us     419.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      32.00 Kb           0 b             1  
                                       aten::empty_like         3.24%      17.000us        23.05%     121.000us     121.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb           0 b             1  
                                    aten::empty_strided        19.81%     104.000us        19.81%     104.000us     104.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb      32.00 Kb             1  
                                       cudaLaunchKernel        49.90%     262.000us        49.90%     262.000us     131.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.33%       7.000us         5.14%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.76%       4.000us         3.81%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.95%       5.000us         3.05%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.90%      10.000us         2.10%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.76%       4.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.33%       7.000us         5.52%      29.000us      29.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.95%       5.000us         4.19%      22.000us      22.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -32.00 Kb     -32.00 Kb             1  
                                  cudaDeviceSynchronize         0.95%       5.000us         0.95%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 525.000us
Self CUDA time total: 5.000us

{'item_0': [45, 2], 'time_cost': '0.0006470680236816406'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.49%       8.000us         3.16%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.67%       9.000us        52.79%     284.000us     284.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         4.46%      24.000us         7.81%      42.000us      42.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         2.97%      16.000us         3.35%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.37%       2.000us         0.37%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.58%      30.000us        80.11%     431.000us     431.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b         512 b           0 b             1  
                                       aten::empty_like         2.97%      16.000us        21.75%     117.000us     117.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided        18.77%     101.000us        18.77%     101.000us     101.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                       cudaLaunchKernel        52.79%     284.000us        52.79%     284.000us     142.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.49%       8.000us         5.02%      27.000us      27.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.56%       3.000us         3.53%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.93%       5.000us         2.97%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.86%      10.000us         2.04%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.74%       4.000us         0.93%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.30%       7.000us         5.20%      28.000us      28.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.74%       4.000us         3.90%      21.000us      21.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b        -512 b        -512 b             1  
                                  cudaDeviceSynchronize         0.93%       5.000us         0.93%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 538.000us
Self CUDA time total: 5.000us

{'item_0': [1920, 128], 'time_cost': '0.0007135868072509766'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         4.28%      26.000us         8.24%      50.000us      50.000us       6.000us        60.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us        60.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.48%       9.000us        43.16%     262.000us     262.000us       4.000us        40.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us        40.00%       4.000us       4.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.46%      21.000us         9.39%      57.000us      57.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         5.60%      34.000us         5.93%      36.000us      36.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.33%       2.000us         0.33%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         4.78%      29.000us        67.55%     410.000us     410.000us       0.000us         0.00%       4.000us       4.000us           0 b           0 b     960.00 Kb           0 b             1  
                                       aten::empty_like         2.97%      18.000us        19.60%     119.000us     119.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     960.00 Kb           0 b             1  
                                    aten::empty_strided        16.64%     101.000us        16.64%     101.000us     101.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     960.00 Kb     960.00 Kb             1  
                                       cudaLaunchKernel        45.63%     277.000us        45.63%     277.000us     138.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.32%       8.000us        11.04%      67.000us      67.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.49%       3.000us         9.72%      59.000us      59.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         0.82%       5.000us         9.23%      56.000us      56.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         4.61%      28.000us         8.40%      51.000us      51.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         3.79%      23.000us         3.79%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.66%       4.000us         0.82%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.16%       1.000us         0.16%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.32%       8.000us        10.38%      63.000us      63.000us       0.000us         0.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.82%       5.000us         9.06%      55.000us      55.000us       0.000us         0.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -960.00 Kb    -960.00 Kb             1  
                                  cudaDeviceSynchronize         0.82%       5.000us         0.82%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 607.000us
Self CUDA time total: 10.000us

{'item_0': [65, 2], 'time_cost': '0.0006272792816162109'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.53%       8.000us         3.26%      17.000us      17.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.92%      10.000us        50.77%     265.000us     265.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.83%      20.000us         7.47%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.26%      17.000us         3.64%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.75%      30.000us        80.08%     418.000us     418.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b       1.00 Kb           0 b             1  
                                       aten::empty_like         3.83%      20.000us        23.56%     123.000us     123.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             1  
                                    aten::empty_strided        19.73%     103.000us        19.73%     103.000us     103.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                       cudaLaunchKernel        50.57%     264.000us        50.57%     264.000us     132.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.34%       7.000us         5.36%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                             TBackward1         0.77%       4.000us         4.02%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                aten::t         1.15%       6.000us         3.26%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::transpose         1.72%       9.000us         2.11%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::as_strided         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    autograd::engine::evaluate_function: CloneBackward0         0.77%       4.000us         0.96%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                         CloneBackward0         0.19%       1.000us         0.19%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         1.15%       6.000us         5.17%      27.000us      27.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.77%       4.000us         4.02%      21.000us      21.000us       0.000us         0.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             1  
                                  cudaDeviceSynchronize         0.96%       5.000us         0.96%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 522.000us
Self CUDA time total: 5.000us

{'item_0': [64, 128], 'time_cost': '0.0006325244903564453'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::add_         1.71%       9.000us         3.42%      18.000us      18.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us        60.00%       3.000us       3.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         1.90%      10.000us        50.66%     267.000us     267.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        40.00%       2.000us       2.000us           0 b           0 b           0 b           0 b             1  
                                               aten::t_         3.80%      20.000us         7.40%      39.000us      39.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                       aten::transpose_         3.23%      17.000us         3.61%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                      aten::as_strided_         0.38%       2.000us         0.38%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        aten::ones_like         5.50%      29.000us        79.89%     421.000us     421.000us       0.000us         0.00%       2.000us       2.000us           0 b           0 b      32.00 Kb           0 b             1  
                                       aten::empty_like         4.55%      24.000us        23.72%     125.000us     125.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb           0 b             1  
                                    aten::empty_strided        19.17%     101.000us        19.17%     101.000us     101.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      32.00 Kb      32.00 Kb             1  
                                       cudaLaunchKernel        50.47%     266.000us        50.47%     266.000us     133.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
        autograd::engine::evaluate_function: TBackward1         1.71%       9.000us         5.31%      28.000us      28.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
