{'item_0': 18, 'item_1': 18, 'time_cost': '6.706372499465942'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    aten::empty_strided         0.67%      15.000us         0.67%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       7.50 Kb       7.50 Kb             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -15.00 Kb     -15.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.250ms
Self CUDA time total: 3.000us

{'item_0': 44, 'item_1': 44, 'time_cost': '0.002447366714477539'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.78%      18.000us        87.10%       1.998ms     999.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.39%       9.000us         1.26%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         4.32%      99.000us       188.01%       4.313ms       2.156ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      16.00 Kb           0 b             2  
                                            aten::empty         3.92%      90.000us         3.92%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                            aten::zero_         0.65%      15.000us        87.05%       1.997ms       1.997ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.31%       1.980ms        86.31%       1.980ms     990.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.52%      12.000us         3.27%      75.000us      75.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       8.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.75%      63.000us      63.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       8.00 Kb           0 b             1  
                                aten::new_empty_strided         0.17%       4.000us         1.05%      24.000us      24.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb           0 b             1  
                                    aten::empty_strided         0.87%      20.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       8.00 Kb       8.00 Kb             1  
                                        cudaMemcpyAsync         0.87%      20.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -16.00 Kb     -16.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.294ms
Self CUDA time total: 3.000us

{'item_0': 34, 'item_1': 34, 'time_cost': '0.0024042129516601562'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.75%      17.000us        87.67%       1.976ms     988.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.73%      84.000us       187.93%       4.236ms       2.118ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b      10.00 Kb           0 b             2  
                                            aten::empty         4.04%      91.000us         4.04%      91.000us      91.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb             1  
                                            aten::zero_         0.67%      15.000us        87.67%       1.976ms       1.976ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.91%       1.959ms        86.91%       1.959ms     979.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.24%      73.000us      73.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       5.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.71%      61.000us      61.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       5.00 Kb           0 b             1  
                                aten::new_empty_strided         0.18%       4.000us         0.98%      22.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb           0 b             1  
                                    aten::empty_strided         0.80%      18.000us         0.80%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.00 Kb       5.00 Kb             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -10.00 Kb     -10.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.254ms
Self CUDA time total: 3.000us

{'item_0': 1, 'item_1': 1, 'time_cost': '0.002460479736328125'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.78%      18.000us        87.54%       2.017ms       1.008ms       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
                                            aten::copy_         0.39%       9.000us         1.26%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.52%      81.000us       188.50%       4.343ms       2.171ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       1.00 Kb           0 b             2  
                                            aten::empty         3.91%      90.000us         3.91%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.43%      10.000us         0.43%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                            aten::zero_         1.30%      30.000us        88.24%       2.033ms       2.033ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.76%       1.999ms        86.76%       1.999ms     999.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.52%      12.000us         3.04%      70.000us      70.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                        torch::autograd::AccumulateGrad         0.39%       9.000us         2.52%      58.000us      58.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b         512 b           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b           0 b             1  
                                    aten::empty_strided         0.65%      15.000us         0.65%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b         512 b         512 b             1  
                                        cudaMemcpyAsync         0.87%      20.000us         0.87%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -1.00 Kb      -1.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.304ms
Self CUDA time total: 3.000us

{'item_0': 22, 'item_1': 22, 'time_cost': '0.0024170875549316406'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.79%      18.000us        87.74%       1.989ms     994.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.28%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.62%      82.000us       188.00%       4.262ms       2.131ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       4.00 Kb           0 b             2  
                                            aten::empty         3.97%      90.000us         3.97%      90.000us      90.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.74%       1.989ms       1.989ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.94%       1.971ms        86.94%       1.971ms     985.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.09%       2.000us         0.09%       2.000us       2.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.26%      74.000us      74.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       2.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.49%      11.000us         2.73%      62.000us      62.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       2.00 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.97%      22.000us      22.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb           0 b             1  
                                    aten::empty_strided         0.75%      17.000us         0.75%      17.000us      17.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.00 Kb       2.00 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.00 Kb      -4.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.267ms
Self CUDA time total: 3.000us

{'item_0': 25, 'item_1': 25, 'time_cost': '0.0024061203002929688'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.76%      17.000us        87.85%       1.973ms     986.500us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.40%       9.000us         1.29%      29.000us      29.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.70%      83.000us       188.16%       4.226ms       2.113ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       5.00 Kb           0 b             2  
                                            aten::empty         3.96%      89.000us         3.96%      89.000us      89.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.40%       9.000us         0.40%       9.000us       9.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.50 Kb       2.50 Kb             1  
                                            aten::zero_         0.67%      15.000us        87.85%       1.973ms       1.973ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        87.09%       1.956ms        87.09%       1.956ms     978.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.49%      11.000us         3.16%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       2.50 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.45%      10.000us         2.67%      60.000us      60.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       2.50 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.93%      21.000us      21.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.50 Kb           0 b             1  
                                    aten::empty_strided         0.71%      16.000us         0.71%      16.000us      16.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.50 Kb       2.50 Kb             1  
                                        cudaMemcpyAsync         0.89%      20.000us         0.89%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -5.00 Kb      -5.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.246ms
Self CUDA time total: 3.000us

{'item_0': 12, 'item_1': 12, 'time_cost': '0.002415895462036133'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::fill_         0.75%      17.000us        87.71%       1.984ms     992.000us       2.000us        66.67%       2.000us       1.000us           0 b           0 b           0 b           0 b             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                            aten::copy_         0.44%      10.000us         1.33%      30.000us      30.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.000us        33.33%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                              aten::eye         3.76%      85.000us       188.06%       4.254ms       2.127ms       0.000us         0.00%       4.000us       2.000us           0 b           0 b       2.00 Kb           0 b             2  
                                            aten::empty         4.02%      91.000us         4.02%      91.000us      91.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                          aten::resize_         0.44%      10.000us         0.44%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                            aten::zero_         0.66%      15.000us        87.71%       1.984ms       1.984ms       0.000us         0.00%       1.000us       1.000us           0 b           0 b           0 b           0 b             1  
                                       cudaLaunchKernel        86.96%       1.967ms        86.96%       1.967ms     983.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                                       aten::as_strided         0.04%       1.000us         0.04%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
autograd::engine::evaluate_function: torch::autograd...         0.53%      12.000us         3.14%      71.000us      71.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                        torch::autograd::AccumulateGrad         0.44%      10.000us         2.61%      59.000us      59.000us       0.000us         0.00%       1.000us       1.000us           0 b           0 b       1.00 Kb           0 b             1  
                                aten::new_empty_strided         0.22%       5.000us         0.84%      19.000us      19.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb           0 b             1  
                                    aten::empty_strided         0.62%      14.000us         0.62%      14.000us      14.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.00 Kb       1.00 Kb             1  
                                        cudaMemcpyAsync         0.88%      20.000us         0.88%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -2.00 Kb      -2.00 Kb             2  
                                  cudaDeviceSynchronize         0.22%       5.000us         0.22%       5.000us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.262ms
Self CUDA time total: 3.000us

